VAR_CODE	VAR_LIB	VAR_LIB_LONG	UNITS	DENOMINATORS	UNIVERSE
C12_MEN	Ménages en 2012 (compl)	Nombre de ménages	households		
C12_MENPSEUL	Ménages 1 personne en 2012 (compl)	Nombre de ménages d'une personne	households	C12_MEN	
C12_MENHSEUL	Ménages Hommes seuls en 2012 (compl)	Nombre de ménages composés d'hommes seuls	households	C12_MEN	
C12_MENFSEUL	Ménages Femmes seules en 2012 (compl)	Nombre de ménages composés de femmes seules	households	C12_MEN	
C12_MENSFAM	Ménages Autres sans famille en 2012 (compl)	Nombre de ménages autres sans famille	households	C12_MEN	
C12_MENFAM	Ménages avec famille(s) en 2012 (compl)	Nombre de ménages avec famille(s)	households	C12_MEN	
C12_MENCOUPSENF	Mén fam princ Couple sans enfant en 2012 (compl)	Nombre de ménages dont la famille principale est formée d'un couple sans enfant	households	C12_MENFAM	
C12_MENCOUPAENF	Mén fam princ Couple avec enfant(s) en 2012 (compl)	Nombre de ménages dont la famille principale est formée d'un couple avec enfant(s)	households	C12_MENFAM	
C12_MENFAMMONO	Mén fam princ Famille mono en 2012 (compl)	Nombre de ménages dont la famille principale est une famille monoparentale	households	C12_MENFAM	
C12_PMEN	Pop Ménages en 2012 (compl)	Nombre de personnes des ménages	people		
C12_PMEN_MENPSEUL	Pop mén Personnes seules en 2012 (compl)	Nombre de personnes des ménages d'une personne	people	C12_PMEN_MENPSEUL	
C12_PMEN_MENHSEUL	Pop mén Hommes seuls en 2012 (compl)	Nombre de personnes des ménages composés d'hommes seuls	people	C12_PMEN_MENPSEUL	
C12_PMEN_MENFSEUL	Pop mén Femmes seules en 2012 (compl)	Nombre de personnes des ménages composés de femmes seules	people	C12_PMEN_MENPSEUL	
C12_PMEN_MENSFAM	Pop mén Autres sans famille en 2012 (compl)	Nombre de personnes des ménages Autres sans famille	people	C12_PMEN_MENPSEUL	
C12_PMEN_MENFAM	Pop mén avec famille(s) en 2012 (compl)	Nombre de personnes des ménages avec famille(s)	people	C12_PMEN_MENPSEUL	
C12_PMEN_MENCOUPSENF	Pop mén fam princ Couple sans enfant en 2012 (compl)	Nombre de personnes des ménages dont la famille principale est un couple sans enfant	people	C12_PMEN_MENFAM	
C12_PMEN_MENCOUPAENF	Pop mén fam princ Couple avec enfant(s) en 2012 (compl)	Nombre de personnes des ménages dont la famille principale est un couple avec des enfants	people	C12_PMEN_MENFAM	
C12_PMEN_MENFAMMONO	Pop mén fam princ Famille mono en 2012 (compl)	Nombre de personnes des ménages dont la famille principale est une famille monoparentale	people	C12_PMEN_MENFAM	
P12_POP15P	Pop 15 ans ou plus en 2012 (princ)	Nombre de personnes de 15 ans ou plus	people	P12_POP	
P12_POP1519	Pop 15-19 ans en 2012 (princ)	Nombre de personnes de 15 à 19 ans	people	P12_POP15P	
P12_POP2024	Pop 20-24 ans en 2012 (princ)	Nombre de personnes de 20 à 24 ans	people	P12_POP15P	
P12_POP2539	Pop 25-39 ans en 2012 (princ)	Nombre de personnes de 25 à 39 ans	people	P12_POP15P	
P12_POP4054	Pop 40-54 ans en 2012 (princ)	Nombre de personnes de 40 à 54 ans	people	P12_POP15P	
P12_POP5564	Pop 55-64 ans en 2012 (princ)	Nombre de personnes de 55 à 64 ans	people	P12_POP15P	
P12_POP6579	Pop 65-79 ans en 2012 (princ)	Nombre de personnes de 65 à 79 ans	people	P12_POP15P	
P12_POP80P	Pop 80 ans ou plus en 2012 (princ)	Nombre de personnes de 80 ans ou plus	people	P12_POP15P	
P12_POPMEN1519	Pop mén 15-19 ans en 2012 (princ)	Nombre de personnes des ménages de 15 à 19 ans	people	P12_POP1519, C12_PMEN	
P12_POPMEN2024	Pop mén 20-24 ans en 2012 (princ)	Nombre de personnes des ménages de 20 à 24 ans	people	P12_POP2024, C12_PMEN	
P12_POPMEN2539	Pop mén 25-39 ans en 2012 (princ)	Nombre de personnes des ménages de 25 à 39 ans	people	P12_POP2539, C12_PMEN	
P12_POPMEN4054	Pop mén 40-54 ans en 2012 (princ)	Nombre de personnes des ménages de 40 à 54 ans	people	P12_POP4054, C12_PMEN	
P12_POPMEN5564	Pop mén 55-64 ans en 2012 (princ)	Nombre de personnes des ménages de 55 à 64 ans	people	P12_POP5564, C12_PMEN	
P12_POPMEN6579	Pop mén 65-79 ans en 2012 (princ)	Nombre de personnes des ménages de 65 à 79 ans	people	P12_POP6579, C12_PMEN	
P12_POPMEN80P	Pop mén 80 ans ou plus en 2012 (princ)	Nombre de personnes des ménages de 80 ans ou plus	people	P12_POP80P, C12_PMEN	
P12_POP1519_PSEUL	Pop 15-19 ans vivant seule en 2012 (princ)	Nombre de personnes de 15 à 19 ans vivant seules	people	P12_POP1519	
P12_POP2024_PSEUL	Pop 20-24 ans vivant seule en 2012 (princ)	Nombre de personnes de 20 à 24 ans vivant seules	people	P12_POP2024	
P12_POP2539_PSEUL	Pop 25-39 ans vivant seule en 2012 (princ)	Nombre de personnes de 25 à 39 ans vivant seules	people	P12_POP2539	
P12_POP4054_PSEUL	Pop 40-54 ans vivant seule en 2012 (princ)	Nombre de personnes de 40 à 54 ans vivant seules	people	P12_POP4054	
P12_POP5564_PSEUL	Pop 55-64 ans vivant seule en 2012 (princ)	Nombre de personnes de 55 à 64 ans vivant seules	people	P12_POP5564	
P12_POP6579_PSEUL	Pop 65-79 ans vivant seule en 2012 (princ)	Nombre de personnes de 65 à 79 ans vivant seules	people	P12_POP6579	
P12_POP80P_PSEUL	Pop 80 ans ou plus vivant seule en 2012 (princ)	Nombre de personnes de 80 ans ou plus vivant seules	people	P12_POP80P	
P12_POP1519_COUPLE	Pop 15-19 ans vivant en couple en 2012 (princ)	Nombre de personnes de 15 à 19 ans vivant en couple	people	P12_POP1519	
P12_POP2024_COUPLE	Pop 20-24 ans vivant en couple en 2012 (princ)	Nombre de personnes de 20 à 24 ans vivant en couple	people	P12_POP2024	
P12_POP2539_COUPLE	Pop 25-39 ans vivant en couple en 2012 (princ)	Nombre de personnes de 25 à 39 ans vivant en couple	people	P12_POP2539	
P12_POP4054_COUPLE	Pop 40-54 ans vivant en couple en 2012 (princ)	Nombre de personnes de 40 à 54 ans vivant en couple	people	P12_POP4054	
P12_POP5564_COUPLE	Pop 55-64 ans vivant en couple en 2012 (princ)	Nombre de personnes de 55 à 64 ans vivant en couple	people	P12_POP5564	
P12_POP6579_COUPLE	Pop 65-79 ans vivant en couple en 2012 (princ)	Nombre de personnes de 65 à 79 ans vivant en couple	people	P12_POP6579	
P12_POP80P_COUPLE	Pop 80 ans ou plus vivant en couple en 2012 (princ)	Nombre de personnes de 80 ans ou plus vivant en couple	people	P12_POP80P	
P12_POP15P_MARIE	Pop 15 ans ou plus Marié en 2012 (princ)	Nombre de personnes de 15 ans ou plus mariées	people	P12_POP15P	
P12_POP15P_CELIB	Pop 15 ans ou plus Célibataire en 2012 (princ)	Nombre de personnes de 15 ans ou plus célibataires	people	P12_POP15P	
P12_POP15P_VEUF	Pop 15 ans ou plus Veuf en 2012 (princ)	Nombre de personnes de 15 ans ou plus veuves	people	P12_POP15P	
P12_POP15P_DIVOR	Pop 15 ans ou plus Divorcé en 2012 (princ)	Nombre de personnes de 15 ans ou plus divorcées	people	P12_POP15P	
C12_MEN_CS1	Ménages Pers Réf Agri. expl. en 2012 (compl)	Nombre de ménages dont la personne de référence est Agriculteur exploitant	households	C12_MEN	
C12_MEN_CS2	Ménages Pers Réf Art. Comm. Chefs entr. en 2012 (compl)	Nombre de ménages dont la personne de référence est Artisan, Commerçant, Chef d'entreprise	households	C12_MEN	
C12_MEN_CS3	Ménages Pers Réf Cadres Prof int sup en 2012 (compl)	Nombre de ménages dont la personne de référence est Cadre ou exerce une Profession intellectuelle supérieure	households	C12_MEN	
C12_MEN_CS4	Ménages Pers Réf Prof intermédiaire en 2012 (compl)	Nombre de ménages dont la personne de référence exerce une Profession intermédiaire	households	C12_MEN	
C12_MEN_CS5	Ménages Pers Réf Employé en 2012 (compl)	Nombre de ménages dont la personne de référence est Employé	households	C12_MEN	
C12_MEN_CS6	Ménages Pers Réf Ouvrier en 2012 (compl)	Nombre de ménages dont la personne de référence est Ouvrier	households	C12_MEN	
C12_MEN_CS7	Ménages Pers Réf Retraité en 2012 (compl)	Nombre de ménages dont la personne de référence est Retraité	households	C12_MEN	
C12_MEN_CS8	Ménages Pers Réf Autre en 2012 (compl)	Nombre de ménages dont la personne de référence est Autre sans activité professionnelle	households	C12_MEN	
C12_PMEN_CS1	Pop mén Pers Réf Agri. expl. en 2012 (compl)	Nombre de personnes des ménages dont la personne de référence est Agriculteur exploitant	people	C12_PMEN	C12_MEN
C12_PMEN_CS2	Pop mén Pers Réf Art Com Chef ent en 2012 (compl)	Nombre de personnes des ménages dont la personne de référence est Artisan, Commerçant, Chef d'entreprise	people	C12_PMEN	C12_MEN
C12_PMEN_CS3	Pop mén Pers Réf Cadres Prof int sup en 2012 (compl)	Nombre de personnes des ménages dont la personne de référence est Cadre ou exerce une Profession intellectuelle supérieure	people	C12_PMEN	C12_MEN
C12_PMEN_CS4	Pop mén Pers Réf Prof intermédiaire en 2012 (compl)	Nombre de personnes des ménages dont la personne de référence exerce une Profession intermédiaire	people	C12_PMEN	C12_MEN
C12_PMEN_CS5	Pop mén Pers Réf Employé en 2012 (compl)	Nombre de personnes des ménages dont la personne de référence est Employé	people	C12_PMEN	C12_MEN
C12_PMEN_CS6	Pop mén Pers Réf Ouvrier en 2012 (compl)	Nombre de personnes des ménages dont la personne de référence est Ouvrier	people	C12_PMEN	C12_MEN
C12_PMEN_CS7	Pop mén Pers Réf Retraité en 2012 (compl)	Nombre de personnes des ménages dont la personne de référence est Retraité	people	C12_PMEN	C12_MEN
C12_PMEN_CS8	Pop mén Pers Réf Autre en 2012 (compl)	Nombre de personnes des ménages dont la personne de référence est Autre sans activité professionnelle	people	C12_PMEN	C12_MEN
C12_FAM	Familles en 2012 (compl)	Nombre de familles	families		
C12_COUPAENF	Fam Couple avec enfant(s) en 2012 (compl)	Nombre de familles formées d'un couple avec enfant(s)	families	C12_FAM	
C12_FAMMONO	Fam Monoparentales en 2012 (compl)	Nombre de familles monoparentales	families	C12_FAM	
C12_HMONO	Fam Mono Hommes avec enfant(s) en 2012 (compl)	Nombre de familles monoparentales formées d'un homme seul avec enfant(s)	families	C12_FAM	
C12_FMONO	Fam Mono Femmes avec enfant(s) en 2012 (compl)	Nombre de familles monoparentales formées d'une femme seule avec enfant(s)	families	C12_FAM	
C12_COUPSENF	Fam Couple sans enfant en 2012 (compl)	Nombre de familles formées d'un couple sans enfant	families	C12_FAM	
C12_NE24F0	Fam 0 enfant moins 25 ans en 2012 (compl)	Nombre de familles avec 0 enfant de moins de 25 ans	families	C12_FAM	
C12_NE24F1	Fam 1 enfant moins 25 ans en 2012 (compl)	Nombre de familles avec 1 enfant de moins de 25 ans	families	C12_FAM	
C12_NE24F2	Fam 2 enfants moins 25 ans en 2012 (compl)	Nombre de familles avec 2 enfants de moins de 25 ans	families	C12_FAM	
C12_NE24F3	Fam 3 enfants moins 25 ans en 2012 (compl)	Nombre de familles avec 3 enfants de moins de 25 ans	families	C12_FAM	
C12_NE24F4P	Fam 4 enfants ou plus moins 25 ans en 2012 (compl)	Nombre de familles avec 4 enfants ou plus de moins de 25 ans	families	C12_FAM	